method,completion_step,coverage_rate,rescued,dead,response_step,load_variance,collision_count,comm_cost,marker_reads,seed
Random,481,0.44,22,28,3,17.84,0,0,0,500
Random,311,0.7,35,15,1,18.240000000000002,0,0,0,600
Random,517,0.5,25,25,1,16.8,0,0,0,11
Random,504,0.44,22,28,4,45.6,0,0,0,22
Random,445,0.84,42,8,1,55.04,0,0,0,33
Random,556,0.7,35,15,10,54.239999999999995,0,0,0,44
Random,547,0.7,35,15,4,40.64,0,0,0,55
Random,425,0.62,31,19,1,28.96,0,0,0,66
Random,526,0.78,39,11,1,16.160000000000004,0,0,0,77
Random,523,0.36,18,32,1,16.240000000000002,0,0,0,88
Random,556,0.46,23,27,16,20.560000000000002,0,0,0,99
Random,483,0.72,36,14,1,46.239999999999995,0,0,0,111
Random,516,0.58,29,21,5,30.4,0,0,0,1000
Random,322,0.8,40,10,2,59.760000000000005,0,0,0,2000
Random,543,0.28,14,36,12,16.96,0,0,0,3000
Random,457,0.5,25,25,1,22.96,0,0,0,4000
Random,556,0.18,9,41,3,6.960000000000001,0,0,0,5000
Random,544,0.44,22,28,3,34.24,0,0,0,6000
Random,540,0.54,27,23,11,57.04,0,0,0,7000
Random,528,0.48,24,26,1,40.959999999999994,0,0,0,8000
Random,531,0.5,25,25,4,45.6,0,0,0,9000
Random,331,0.82,41,9,1,25.76,0,0,0,9999
