method,completion_step,coverage_rate,rescued,dead,response_step,load_variance,collision_count,comm_cost,marker_reads,seed,env_type
扬尘-SCCS融合,225,0.76,38,12,22,10.16,0,0,1874,100,扬尘-SCCS融合
扬尘-SCCS融合,178,0.96,48,2,16,6.0,0,0,2136,200,扬尘-SCCS融合
扬尘-SCCS融合,203,1.0,50,0,6,4.8,0,0,3065,300,扬尘-SCCS融合
扬尘-SCCS融合,155,0.94,47,3,8,12.559999999999999,0,0,1672,400,扬尘-SCCS融合
扬尘-SCCS融合,180,1.0,50,0,11,6.4,0,0,2227,500,扬尘-SCCS融合
扬尘-SCCS融合,161,1.0,50,0,14,5.2,0,0,1702,600,扬尘-SCCS融合
扬尘-SCCS融合,148,0.98,49,1,7,1.2,0,0,1884,11,扬尘-SCCS融合
扬尘-SCCS融合,204,1.0,50,0,24,6.8,0,0,2904,22,扬尘-SCCS融合
扬尘-SCCS融合,186,0.94,47,3,9,13.2,0,0,3571,33,扬尘-SCCS融合
扬尘-SCCS融合,199,0.86,43,7,10,5.4399999999999995,0,0,3076,44,扬尘-SCCS融合
扬尘-SCCS融合,149,1.0,50,0,1,7.6,0,0,2879,55,扬尘-SCCS融合
扬尘-SCCS融合,186,0.9,45,5,5,4.959999999999999,0,0,2477,66,扬尘-SCCS融合
扬尘-SCCS融合,185,1.0,50,0,10,8.4,0,0,2156,77,扬尘-SCCS融合
扬尘-SCCS融合,303,0.56,28,22,52,3.44,0,0,3540,88,扬尘-SCCS融合
扬尘-SCCS融合,171,0.92,46,4,14,12.8,0,0,1653,99,扬尘-SCCS融合
扬尘-SCCS融合,167,0.92,46,4,17,24.8,0,0,2543,111,扬尘-SCCS融合
扬尘-SCCS融合,210,0.8,40,10,26,15.84,0,0,2742,1000,扬尘-SCCS融合
扬尘-SCCS融合,234,0.74,37,13,30,5.04,0,0,2410,2000,扬尘-SCCS融合
扬尘-SCCS融合,194,1.0,50,0,15,12.4,0,0,2078,3000,扬尘-SCCS融合
扬尘-SCCS融合,195,0.98,49,1,1,3.6,0,0,1806,4000,扬尘-SCCS融合
扬尘-SCCS融合,156,1.0,50,0,23,1.2,0,0,1906,5000,扬尘-SCCS融合
扬尘-SCCS融合,199,1.0,50,0,19,13.2,0,0,2891,6000,扬尘-SCCS融合
扬尘-SCCS融合,139,0.96,48,2,11,0.8,0,0,1892,7000,扬尘-SCCS融合
扬尘-SCCS融合,172,1.0,50,0,6,1.6,0,0,1747,8000,扬尘-SCCS融合
扬尘-SCCS融合,247,0.98,49,1,17,14.0,0,0,2504,9000,扬尘-SCCS融合
扬尘-SCCS融合,178,0.96,48,2,12,21.360000000000003,0,0,1901,9999,扬尘-SCCS融合
扬尘-Greedy纯视觉,556,0.36,18,32,2,3.6,0,440,0,42,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,556,0.66,33,17,1,9.2,0,440,0,123,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,556,0.3,15,35,5,8.16,0,440,0,456,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,494,0.56,28,22,2,11.040000000000001,0,380,0,789,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,556,0.46,23,27,10,16.240000000000002,0,440,0,100,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,526,0.58,29,21,4,10.959999999999999,0,420,0,200,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,488,0.44,22,28,33,11.6,0,380,0,300,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,556,0.36,18,32,2,12.959999999999999,0,440,0,400,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,515,0.36,18,32,64,13.2,0,400,0,500,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,408,0.48,24,26,3,3.04,0,320,0,600,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,517,0.46,23,27,2,19.839999999999996,0,400,0,11,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,504,0.46,23,27,2,6.16,0,400,0,22,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,476,0.74,37,13,3,29.04,0,380,0,33,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,417,0.56,28,22,9,3.84,0,320,0,44,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,547,0.58,29,21,1,24.56,0,420,0,55,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,483,0.46,23,27,3,14.24,0,380,0,66,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,531,0.58,29,21,2,12.64,0,420,0,77,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,510,0.54,27,23,1,22.959999999999994,0,400,0,88,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,458,0.46,23,27,19,2.6399999999999997,0,360,0,99,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,483,0.58,29,21,3,5.36,0,380,0,111,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,516,0.36,18,32,6,6.56,0,400,0,1000,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,441,0.56,28,22,4,7.840000000000001,0,340,0,2000,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,491,0.34,17,33,33,5.040000000000001,0,380,0,3000,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,543,0.46,23,27,3,2.96,0,420,0,4000,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,556,0.44,22,28,17,12.0,0,440,0,5000,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,544,0.22,11,39,7,2.56,0,420,0,6000,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,540,0.4,20,30,17,9.36,0,420,0,7000,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,498,0.44,22,28,2,7.6,0,380,0,8000,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,526,0.3,15,35,4,1.3599999999999999,0,420,0,9000,扬尘-Greedy纯视觉
扬尘-Greedy纯视觉,511,0.54,27,23,1,1.44,0,400,0,9999,扬尘-Greedy纯视觉
弱光-SCCS融合,212,0.84,42,8,22,14.8,0,0,2638,42,弱光-SCCS融合
弱光-SCCS融合,236,0.9,45,5,12,10.16,0,0,3690,123,弱光-SCCS融合
弱光-SCCS融合,218,0.78,39,11,28,3.7599999999999993,0,0,4276,456,弱光-SCCS融合
弱光-SCCS融合,252,0.66,33,17,5,13.36,0,0,3778,789,弱光-SCCS融合
弱光-SCCS融合,229,0.76,38,12,22,11.36,0,0,2472,100,弱光-SCCS融合
弱光-SCCS融合,164,0.96,48,2,16,7.6,0,0,2830,200,弱光-SCCS融合
弱光-SCCS融合,214,1.0,50,0,6,2.8,0,0,4441,300,弱光-SCCS融合
弱光-SCCS融合,150,0.94,47,3,8,13.76,0,0,2039,400,弱光-SCCS融合
弱光-SCCS融合,180,1.0,50,0,11,6.4,0,0,2873,500,弱光-SCCS融合
弱光-SCCS融合,185,0.98,49,1,14,4.8,0,0,2177,600,弱光-SCCS融合
弱光-SCCS融合,148,0.98,49,1,7,1.2,0,0,2420,11,弱光-SCCS融合
弱光-SCCS融合,198,1.0,50,0,24,10.4,0,0,4139,22,弱光-SCCS融合
弱光-SCCS融合,186,0.94,47,3,9,13.2,0,0,4757,33,弱光-SCCS融合
弱光-SCCS融合,203,0.86,43,7,10,5.4399999999999995,0,0,4078,44,弱光-SCCS融合
弱光-SCCS融合,151,1.0,50,0,1,6.4,0,0,3721,55,弱光-SCCS融合
弱光-SCCS融合,192,0.92,46,4,5,6.56,0,0,3437,66,弱光-SCCS融合
弱光-SCCS融合,185,1.0,50,0,10,8.4,0,0,2907,77,弱光-SCCS融合
弱光-SCCS融合,305,0.52,26,24,52,18.160000000000004,1,0,4790,88,弱光-SCCS融合
弱光-SCCS融合,171,0.9,45,5,14,10.0,0,0,2090,99,弱光-SCCS融合
弱光-SCCS融合,165,0.92,46,4,17,21.6,0,0,3293,111,弱光-SCCS融合
弱光-SCCS融合,203,0.82,41,9,26,19.76,0,0,3955,1000,弱光-SCCS融合
弱光-SCCS融合,234,0.74,37,13,30,3.84,0,0,3338,2000,弱光-SCCS融合
弱光-SCCS融合,200,1.0,50,0,15,6.0,0,0,2773,3000,弱光-SCCS融合
弱光-SCCS融合,176,0.98,49,1,1,4.8,0,0,2242,4000,弱光-SCCS融合
弱光-SCCS融合,144,1.0,50,0,23,0.4,0,0,2343,5000,弱光-SCCS融合
弱光-SCCS融合,198,1.0,50,0,19,17.2,0,0,3799,6000,弱光-SCCS融合
弱光-SCCS融合,131,0.96,48,2,11,0.8,0,0,2279,7000,弱光-SCCS融合
弱光-SCCS融合,170,1.0,50,0,6,6.0,0,0,2096,8000,弱光-SCCS融合
弱光-SCCS融合,219,1.0,50,0,17,14.8,0,0,3107,9000,弱光-SCCS融合
弱光-SCCS融合,209,0.94,47,3,12,32.56,0,0,2769,9999,弱光-SCCS融合
弱光-Greedy纯视觉,556,0.18,9,41,16,0.5599999999999999,0,440,0,42,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.52,26,24,1,2.16,0,440,0,123,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.24,12,38,7,3.7600000000000002,0,440,0,456,弱光-Greedy纯视觉
弱光-Greedy纯视觉,412,0.44,22,28,28,2.4,0,320,0,789,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.34,17,33,19,4.8,0,440,0,100,弱光-Greedy纯视觉
弱光-Greedy纯视觉,526,0.22,11,39,6,3.84,0,420,0,200,弱光-Greedy纯视觉
弱光-Greedy纯视觉,542,0.2,10,40,33,2.24,0,420,0,300,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.26,13,37,14,1.44,0,440,0,400,弱光-Greedy纯视觉
弱光-Greedy纯视觉,556,0.2,10,40,77,3.44,0,440,0,500,弱光-Greedy纯视觉
