method,completion_step,coverage_rate,rescued,dead,response_step,load_variance,collision_count,comm_cost,marker_reads,seed
w/o LiDAR融合,308,0.76,38,12,1,23.759999999999998,0,0,1889,123
w/o LiDAR融合,280,0.84,42,8,4,109.03999999999996,0,0,1621,456
w/o LiDAR融合,324,0.78,39,11,1,9.6,0,0,1662,789
w/o LiDAR融合,294,0.78,39,11,2,22.959999999999997,0,0,1444,100
w/o LiDAR融合,500,0.68,34,16,1,12.56,0,0,2313,200
w/o LiDAR融合,488,0.72,36,14,17,25.04,0,0,1400,300
w/o LiDAR融合,463,0.68,34,16,2,4.0,0,0,1473,400
w/o LiDAR融合,432,0.78,39,11,3,39.760000000000005,0,0,1275,500
w/o LiDAR融合,393,0.64,32,18,1,9.36,0,0,1452,600
w/o LiDAR融合,328,0.72,36,14,1,58.959999999999994,0,0,1232,11
w/o LiDAR融合,504,0.62,31,19,1,26.560000000000002,0,0,2443,22
w/o LiDAR融合,196,0.96,48,2,1,45.76,0,0,1435,33
w/o LiDAR融合,200,0.86,43,7,11,64.0,0,0,1392,44
w/o LiDAR融合,183,0.92,46,4,2,2.96,0,0,1590,55
w/o LiDAR融合,425,0.68,34,16,1,16.8,0,0,1723,66
w/o LiDAR融合,402,0.62,31,19,2,15.2,0,0,1311,77
w/o LiDAR融合,473,0.76,38,12,1,16.96,0,0,1458,88
w/o LiDAR融合,271,0.78,39,11,20,26.8,0,0,1232,99
w/o LiDAR融合,220,0.88,44,6,2,93.76,0,0,1380,111
w/o LiDAR融合,289,0.84,42,8,5,62.8,0,0,1682,1000
w/o LiDAR融合,208,0.86,43,7,2,22.160000000000004,0,0,1287,2000
w/o LiDAR融合,419,0.7,35,15,27,12.56,0,0,1151,3000
w/o LiDAR融合,242,0.86,43,7,1,19.759999999999998,0,0,1143,4000
w/o LiDAR融合,239,0.86,43,7,3,15.76,0,0,1031,5000
w/o LiDAR融合,366,0.68,34,16,3,52.56000000000002,0,0,1047,6000
w/o LiDAR融合,519,0.7,35,15,15,51.44000000000001,0,0,1510,7000
w/o LiDAR融合,498,0.68,34,16,2,10.56,0,0,1237,8000
w/o LiDAR融合,202,0.92,46,4,4,89.84,0,0,1241,9000
w/o LiDAR融合,453,0.82,41,9,1,14.24,0,0,2173,9999
