method,completion_step,coverage_rate,rescued,dead,response_step,load_variance,collision_count,comm_cost,marker_reads,seed,n_robots,base_method
SCCS N=5,186,0.94,47,3,9,13.2,0,0,4769,33,5,SCCS
SCCS N=5,195,0.86,43,7,10,7.040000000000002,0,0,4000,44,5,SCCS
SCCS N=5,149,1.0,50,0,1,7.6,0,0,3704,55,5,SCCS
SCCS N=5,194,0.92,46,4,5,6.56,0,0,3373,66,5,SCCS
SCCS N=5,185,1.0,50,0,10,8.4,0,0,2944,77,5,SCCS
SCCS N=5,302,0.52,26,24,52,18.160000000000004,1,0,4763,88,5,SCCS
SCCS N=5,159,0.92,46,4,14,9.2,0,0,2033,99,5,SCCS
SCCS N=5,165,0.92,46,4,17,21.6,0,0,3335,111,5,SCCS
SCCS N=5,199,0.82,41,9,26,19.76,0,0,3968,1000,5,SCCS
SCCS N=5,234,0.74,37,13,30,3.84,0,0,3404,2000,5,SCCS
SCCS N=5,194,1.0,50,0,15,9.2,0,0,2759,3000,5,SCCS
SCCS N=5,174,0.98,49,1,1,4.8,0,0,2265,4000,5,SCCS
SCCS N=5,144,1.0,50,0,23,0.4,0,0,2380,5000,5,SCCS
SCCS N=5,194,1.0,50,0,19,14.0,0,0,3844,6000,5,SCCS
SCCS N=5,131,0.96,48,2,11,0.8,0,0,2304,7000,5,SCCS
SCCS N=5,168,1.0,50,0,6,8.0,0,0,2119,8000,5,SCCS
SCCS N=5,219,1.0,50,0,17,14.8,0,0,3181,9000,5,SCCS
SCCS N=5,209,0.94,47,3,12,32.56,0,0,2798,9999,5,SCCS
Greedy N=5,556,0.74,37,13,1,34.64,0,440,0,42,5,Greedy
Greedy N=5,179,0.92,46,4,1,14.64,0,140,0,123,5,Greedy
Greedy N=5,200,0.92,46,4,4,62.239999999999995,0,160,0,456,5,Greedy
Greedy N=5,308,0.88,44,6,1,4.0,0,240,0,789,5,Greedy
Greedy N=5,313,0.78,39,11,2,26.959999999999997,0,240,0,100,5,Greedy
Greedy N=5,211,0.88,44,6,1,38.56,0,160,0,200,5,Greedy
Greedy N=5,171,0.94,47,3,6,39.040000000000006,0,120,0,300,5,Greedy
